課程名稱,上課地點,開放報名,開課日期,性質
服裝打版及綠時尚原衣改造創新設計班第01期,嘉義市嘉義市彌陀路255號C棟1樓,2022/04/14,2022/05/14,在職
IG與粉絲團操作解密實作班第01期,嘉義市嘉義市友忠路555號1樓,2022/04/14,2022/05/14,在職
傳統整復推拿技術員職能課程班第01期,嘉義市嘉義市玉康路160號,2022/04/14,2022/05/14,在職
智慧機械與製圖3D設計班(全程遠距視訊教學) 第01期,嘉義市,2022/04/13,2022/05/30,職前
美甲證照與專業美妍師創業實務班 第01期,嘉義市,2022/04/13,2022/05/19,職前
智慧倉儲管理暨堆高機操作人員訓練班 第01期,嘉義市,2022/04/13,2022/06/20,職前
托育人員專業訓練班(在職班)第1期 第01期,嘉義市,2022/04/12,2022/04/30,職前
Excel資料處理數據分析班第01期,嘉義市嘉義市蘭井街465號2樓,2022/04/11,2022/05/11,在職
天然蔬果3D藝術果凍花訓練班第01期,嘉義市嘉義市彌陀路255號C棟1樓,2022/04/10,2022/05/10,在職
職場商務軟體技能班(全程遠距視訊教學) 第01期,嘉義市,2022/04/25,2022/06/07,職前
(嘉義縣)AI大數據應用及電商行銷班(全程遠距視訊教學) 第01期,嘉義市,2022/04/25,2022/07/25,職前
(嘉義縣) 大貨車駕駛員訓練班 第01期,嘉義市,2022/04/25,2022/08/03,職前
燒烙畫藝術品實作班第02期,嘉義市嘉義市玉康路160號2樓,2022/04/24,2022/05/24,在職
Sketchup室內設計3D繪圖班第01期,嘉義市嘉義市垂楊路400號8樓之2,2022/04/23,2022/05/23,在職
新潮罐子甜點創作班第01期,嘉義市嘉義市國華街245號6樓,2022/04/22,2022/05/22,在職
(嘉義縣)網路社群行銷暨商品美編應用班(全程遠距視訊教學) 第01期,嘉義市,2022/04/20,2022/06/20,職前
AutoCAD製圖與產品3D列印班第01期,嘉義市嘉義市蘭井街465號2樓,2022/04/19,2022/05/19,在職
中式玩味私廚料理班 第01期,嘉義市,2022/04/19,2022/08/29,職前
營造業甲種職業安全衛生業務主管訓練班第01期,嘉義市嘉義市中興路127號5樓(第三教室),2022/04/18,2022/05/18,在職
職人咖啡烘焙與手沖技巧實務班第01期,嘉義市嘉義市垂楊路400號8樓之2,2022/04/14,2022/05/14,在職
服裝打版及綠時尚原衣改造創新設計班第01期,嘉義市嘉義市彌陀路255號C棟1樓,2022/04/14,2022/05/14,在職
IG與粉絲團操作解密實作班第01期,嘉義市嘉義市友忠路555號1樓,2022/04/14,2022/05/14,在職
傳統整復推拿技術員職能課程班第01期,嘉義市嘉義市玉康路160號,2022/04/14,2022/05/14,在職
智慧機械與製圖3D設計班(全程遠距視訊教學) 第01期,嘉義市,2022/04/13,2022/05/30,職前
美甲證照與專業美妍師創業實務班 第01期,嘉義市,2022/04/13,2022/05/19,職前
智慧倉儲管理暨堆高機操作人員訓練班 第01期,嘉義市,2022/04/13,2022/06/20,職前
托育人員專業訓練班(在職班)第1期 第01期,嘉義市,2022/04/12,2022/04/30,職前
Excel資料處理數據分析班第01期,嘉義市嘉義市蘭井街465號2樓,2022/04/11,2022/05/11,在職
天然蔬果3D藝術果凍花訓練班第01期,嘉義市嘉義市彌陀路255號C棟1樓,2022/04/10,2022/05/10,在職
Sketchup3D空間繪圖創作班第01期,嘉義市嘉義市玉康路160號3樓306電腦教室,2022/04/09,2022/05/09,在職
裝修工程工料分析應用班第01期,嘉義市嘉義市彌陀路255號1樓,2022/04/08,2022/06/26,在職
丙種職業安全衛生業務主管教育訓練班第01期,嘉義市嘉義市民權路278號6樓,2022/04/08,2022/05/08,在職
丙種職業安全衛生業務主管教育訓練班第01期,嘉義市嘉義市國華街245號7樓之6,2022/04/07,2022/06/30,在職
肚皮舞核心肌群控制訓練班第02期,嘉義市嘉義市吳鳳南路94號,2022/04/06,2022/05/06,在職
不動產基礎實務班第01期,嘉義市嘉義市民權路304號2樓,2022/04/05,2022/05/05,在職
手機拍攝及創意修圖班第03期,嘉義市嘉義市國華街245號6樓,2022/04/04,2022/05/04,在職
職前平日第4班 第01期,嘉義市,2022/04/01,2022/06/07,職前
電腦硬體裝修實務班第01期,嘉義市嘉義市垂楊路508號5樓之2,2022/03/30,2022/04/30,在職
茶席藝術與生活美學班第01期,嘉義市嘉義市民權路304號2樓,2022/03/28,2022/04/28,在職
綠手指園藝植栽造景訓練班第10期,嘉義市嘉義市彌陀路255號C棟1樓,2022/03/27,2022/04/27,在職
社會保險及車禍解析班第04期,嘉義市嘉義市玉康路160號2樓,2022/03/26,2022/04/26,在職
時尚手作拼布實作班第05期,嘉義市嘉義市民權路304號2樓,2022/03/25,2022/04/25,在職
麥香麵食手作點心班第01期,嘉義市嘉義市上海路27號,2022/03/25,2022/04/25,在職
