課程名稱,上課地點,開放報名,開課日期,性質
主管管理技能實務班第08期,新竹縣竹北市縣政八街77號1樓,2022/03/16,2022/04/16,在職
網紅攝影美編修圖實務班第01期,新竹縣竹北市中正東路213號1樓,2022/03/16,2022/04/16,在職
證券期貨多元化交易暨資訊化應用班 第01期,新竹縣,2022/03/16,2022/07/25,職前
行政人員資訊整合設計班 第01期,新竹縣,2022/03/16,2022/09/14,職前
產品結構暨商業設計班 第01期,新竹縣,2022/03/16,2022/09/13,職前
勞動契約暨勞動法令實務班第01期,新竹縣竹北市十興路１段261號2樓,2022/03/12,2022/04/12,在職
俏麗美睫專業技能班第01期,新竹縣竹北市文興路１段30號4樓,2022/03/10,2022/04/10,在職
服飾製作修改班第03期,新竹縣竹北市縣政八街77號,2022/03/10,2022/04/10,在職
托育人員職業訓練班-假日在職A班（新竹縣） 第01期,新竹縣,2022/03/10,2022/07/09,職前
托育人員職業訓練班-平日職前2班（新竹縣） 第03期,新竹縣,2022/03/10,2022/10/18,職前
托育人員職業訓練班-平日職前1班（新竹縣） 第02期,新竹縣,2022/03/10,2022/07/19,職前
泥作砌磚實務班(尖石) 第01期,新竹縣,2022/03/07,2022/05/10,職前
111年度照顧服務員職業職前訓練專班 第01期,新竹縣,2022/03/01,2022/08/17,職前
多益英語閱讀訓練班第01期,新竹縣竹北市縣政八街77號1樓,2022/02/22,2022/03/22,在職
水電裝修維護班第01期,新竹縣竹北市中正東路213號2樓,2022/02/19,2022/03/19,在職
西點蛋糕實務烘焙班第01期,新竹縣湖口鄉中山路３段530號,2022/02/19,2022/03/19,在職
數位轉型電商初級班第02期,新竹縣竹北市縣政八街77號1樓,2022/02/18,2022/03/18,在職
日語文法會話中階班第08期,新竹縣竹北市縣政八街77號1樓,2022/02/15,2022/03/15,在職
勞動法令與相關案例研討實務班第01期,新竹縣竹北市縣政八街77號1F,2022/02/15,2022/03/15,在職
食物製備應用班第03期,新竹縣湖口鄉中平路１段510號,2022/02/14,2022/03/12,在職
觀光英語基礎班第01期,新竹縣竹北市勝利五路195號,2022/02/13,2022/03/13,在職
EXCEL商務報表試算應用班第01期,新竹縣竹北市中正東路213號1樓,2022/02/13,2022/03/13,在職
食品發酵應用班第01期,新竹縣湖口鄉中平路１段510號,2022/02/13,2022/03/13,在職
拼布手作應用班第01期,新竹縣竹北市縣政八街77號,2022/02/13,2022/03/12,在職
日語綜合實力養成班第01期,新竹縣竹北市勝利五路195號,2022/02/13,2022/03/12,在職
職場實用日語會話應用班第01期,新竹縣竹北市嘉豐七街145號4樓,2022/02/10,2022/03/10,在職
實用日語班第10期,新竹縣竹北市縣政八街77號1F,2022/01/27,2022/03/07,在職
產後照護人才訓練班第01期,新竹縣竹北市中正東路213號2樓,2022/01/26,2022/03/06,在職
心智圖與行銷企劃班第01期,新竹縣竹北市勝利五路195號,2022/01/26,2022/03/06,在職
Excel函數與圖表整合應用班第01期,新竹縣竹北市嘉豐七街145號4樓,2022/01/25,2022/03/05,在職
韓式擠花蛋糕菓子裝飾實務班第01期,新竹縣竹北市縣政八街77號1F,2022/01/25,2022/03/05,在職
彩妝護膚實務進階班第01期,新竹縣竹北市復興二路229號5樓之8,2022/01/25,2022/03/06,在職
營業用動力小船駕駛訓練班第01期,新竹縣竹北市縣政八街77號,2022/01/24,2022/06/16,在職
商用多益英文訓練班第01期,新竹縣竹北市中正東路213號1樓,2022/01/24,2022/03/05,在職
客家花布實務應用班第04期,新竹縣竹北市縣政八街77號1F,2022/01/23,2022/02/23,在職
體適能瑜珈班第02期,新竹縣竹北市縣政八街77號1F,2022/01/23,2022/03/04,在職
傳統整復保健班第01期,新竹縣竹北市縣政八街77號1F,2022/01/22,2022/03/03,在職
日語文法會話班第03期,新竹縣竹北市縣政八街77號1F,2022/01/21,2022/03/01,在職
嬰幼兒照顧技巧培訓C班第01期,新竹縣竹北市中正東路213號1樓,2022/01/19,2022/06/12,在職
嬰幼兒照顧技巧培訓A班第01期,新竹縣竹北市中正東路213號1樓,2022/01/18,2022/02/11,在職
嬰幼兒照顧技巧培訓B班第01期,新竹縣竹北市中正東路213號1樓,2022/01/18,2022/02/12,在職
麵食點心班第01期,新竹縣竹北市縣政八街,2021/11/26,2021/12/26,在職
應用美睫技能實務班第01期,新竹縣竹北市復興二路229號5樓之8,2021/11/23,2021/12/23,在職
營業用動力小船駕駛訓練班第01期,新竹縣竹北市縣政八街77號,2021/11/18,2021/12/19,在職
咖啡手工調製應用班第02期,新竹縣竹北市縣政八街77號1F,2021/11/18,2021/12/18,在職
凝膠指甲彩繪設計班第01期,新竹縣竹北市復興二路229號5樓之8,2021/11/14,2021/12/14,在職
幼兒體適能律動指導員培訓班第02期,新竹縣竹北市中正東路213號2樓,2021/11/12,2021/12/12,在職
觀光旅遊進階西班牙文班第01期,新竹縣竹北市中正東路213號2樓,2021/11/11,2021/12/11,在職
嬰幼兒撫觸與按摩班第02期,新竹縣竹北市中正東路213號1樓,2021/11/11,2021/12/11,在職
觀光旅遊基礎西班牙文班第02期,新竹縣竹北市中正東路213號2樓,2021/11/05,2021/12/05,在職
健康照護經絡保健班第07期,新竹縣竹東鎮東寧路２段247巷2號2樓,2021/11/05,2021/12/05,在職
