課程名稱,上課地點,開放報名,開課日期,性質
清潔人員基礎班第03期,高雄市新興區民族二路97號10樓,2022/11/04,2022/12/04,在職
幼兒遊戲教具與點心創作班第01期,高雄市三民區大昌二路67號5樓之1,2022/11/04,2022/12/04,在職
交通事故處理與分析訓練班第12期,高雄市鹽埕區中正四路274號,2022/11/04,2022/12/04,在職
產後照顧人員嬰婦衞教班第01期,高雄市新興區和平一路199號8樓,2022/11/03,2022/12/03,在職
甲種職業安全衛生業務主管教育訓練班第02期,高雄市苓雅區中正一路315號4樓之2,2022/11/03,2022/12/03,在職
3d列印智慧製造技術於建築室內設計模型應用學士學分班第01期,高雄市三民區建工路,2022/11/03,2022/12/03,在職
腳底按摩手技實作班,高雄市苓雅區中正一路249號7樓之1,2022/11/02,2022/12/02,在職
創意快速剪髮造型應用班 第01期,高雄市,2022/11/02,2022/12/21,職前
建築物漏水診斷及處理實務班第02期,高雄市鼓山區中華一路203號7樓,2022/11/01,2022/12/01,在職
鋼結構工程技術之基礎培訓實務班第03期,高雄市鼓山區中華一路203號7樓,2022/10/30,2022/11/29,在職
問題分析與解決工具實務班第02期,高雄市前金區大同二路145號5樓之五,2022/10/29,2022/11/28,在職
土地法與土地相關稅法實務運用訓練班第02期,高雄市新興區中山二路472號5樓之8,2022/10/29,2022/11/28,在職
樂作烘焙麵包餅乾班第01期,高雄市苓雅區中正一路102號,2022/10/28,2022/11/27,在職
園藝盆栽培植班第02期,高雄市鳳山區維新路124號D棟11樓之3,2022/10/28,2022/11/27,在職
AI人工智慧與視覺辨識應用班第01期,高雄市三民區堯山街8號,2022/10/28,2022/11/27,在職
開襟造型上衣與雙色兩戴帽裁縫訓練班第01期,高雄市苓雅區福德三路353巷60號4樓,2022/10/28,2022/11/27,在職
IOT智慧生活機器人進階碩士學分班,高雄市三民區建工路415號,2022/10/28,2022/11/27,在職
無人機航拍系統應用班第11期,高雄市三民區博愛一路391號3F-1,2022/10/27,2022/11/27,在職
實務神秘客培訓班第02期,高雄市苓雅區中正二路30號8樓,2022/10/27,2022/12/10,在職
韓語初級文法班第01期,高雄市三民區博愛一路287號9樓,2022/10/27,2022/11/25,在職
中餐烹飪實作班第01期,高雄市鳳山區和平路42號,2022/10/27,2022/11/26,在職
AI智能聊天機器人設計實務班第01期,高雄市三民區堯山街8號,2022/10/27,2022/11/26,在職
成本會計導入與決策實務班第01期,高雄市湖內區正義一路299巷2弄19號,2022/10/26,2022/11/27,在職
開源飛控固定翼無人機系統實務班第02期,高雄市三民區博愛一路391號3F-1,2022/10/26,2022/11/26,在職
AutoCAD電腦輔助製圖設計實務班第02期,高雄市三民區堯山街8號,2022/10/24,2022/11/23,在職
領隊導遊訓練班第01期,高雄市前金區五福三路21號7樓,2022/10/24,2022/11/23,在職
新娘婚禮造型捧花設計班,高雄市前鎮區鎮中路6號8F,2022/10/22,2022/11/21,在職
