課程名稱,上課地點,開放報名,開課日期,性質
烘焙食品手作實務班 第01期,花蓮縣,2022/01/19,2022/04/20,職前
原住民手縫皮革班 第01期,花蓮縣,2022/01/19,2022/03/21,職前
砌磚鋪面實務班 第01期,花蓮縣,2022/01/18,2022/03/28,職前
創意早午餐烘焙料理培訓班 第01期,花蓮縣,2022/01/18,2022/03/22,職前
原饗風味料理餐點實務班 第01期,花蓮縣,2022/01/17,2022/04/11,職前
室內配線(花蓮)第01期,花蓮縣,2022/01/03,2022/04/06,在職
室內設計手繪製圖(假日班)(花蓮)第01期,花蓮縣,2022/01/03,2022/04/10,在職
室內裝修施工實務(木作)(產訓班)(花蓮) 第01期,花蓮縣,2022/01/01,2022/05/03,職前
水電空調維護(假日班)(花蓮)第01期,花蓮縣,2021/12/26,2022/03/27,在職
形象造型職人班 第01期,花蓮縣,2021/12/20,2022/05/02,職前
社群媒體與數位行銷班 第01期,花蓮縣,2021/12/17,2022/05/17,職前
太陽光電與綠能應用實務人才培訓班 第01期,花蓮縣,2021/12/17,2022/04/01,職前
物聯網與通信人才訓練班 第01期,花蓮縣,2021/12/17,2022/06/14,職前
食品模型師班 第01期,花蓮縣,2021/12/17,2022/04/11,職前
活動會議場地佈置設計班 第01期,花蓮縣,2021/12/17,2022/03/07,職前
網際網路服務人才培訓班 第01期,花蓮縣,2021/12/17,2022/03/07,職前
原民手工藝品製作班 第01期,花蓮縣,2021/12/13,2022/03/11,職前
運動健康產業-國際自行車觀光行銷人才班,花蓮縣花蓮市公園路40之11號112教室(學科教室)花蓮、吉安、關山、池上自行車道(術科教室),2021/12/09,2021/12/15,青年
新娘頭飾婚禮飾品人才培訓班 第01期,花蓮縣,2021/12/09,2022/03/07,職前
木家具翻新改造班 第01期,花蓮縣,2021/12/03,2022/05/19,職前
食藝烘焙西點製作班 第01期,花蓮縣,2021/12/03,2022/04/08,職前
無國界料理製作班 第01期,花蓮縣,2021/12/03,2022/03/24,職前
玉石設計行銷訓練班 第01期,花蓮縣,2021/12/02,2022/02/09,職前
模板泥水技術工培訓班 第01期,花蓮縣,2021/12/02,2022/02/21,職前
全方位數位行銷人才-國際行銷x數位社群x影音攝影 第二專長班,花蓮縣花蓮市公園路40之11號 104教室,2021/12/01,2021/12/06,青年
美工電腦設計實務班 第01期,花蓮縣,2021/11/27,2022/01/19,職前
民宿經營管理-管家實務 第01期,花蓮縣,2021/11/20,2022/03/31,職前
玉石飾品設計與製作 第01期,花蓮縣,2021/11/19,2022/03/01,職前
時尚仕女包實作班第01期,花蓮縣花蓮市富安路199號,2021/11/15,2021/12/15,在職
精品城市後背包班,花蓮縣吉安鄉東里一街156號,2021/10/30,2021/11/29,在職
道教占驗陽宅風水訓練班第02期,花蓮縣玉里鎮中山路１段35號,2021/10/29,2021/12/11,在職
美味伴手禮點心烘焙班,花蓮縣花蓮市中福路84號,2021/10/28,2021/11/27,在職
游泳教練培訓班(訓用合一) 第01期,花蓮縣,2021/10/27,2021/11/10,職前
烘焙西點麵包餅乾製作進階班第01期,花蓮縣花蓮市國盛二街85號,2021/10/27,2021/11/26,在職
生活美學花藝設計班,花蓮縣吉安鄉東里一街156號,2021/10/22,2021/12/04,在職
水電實務 第01期,花蓮縣,2021/10/15,2022/01/24,職前
110年年度照顧服務員專班第六期(芥菜種會職前假日班) 第01期,花蓮縣,2021/10/13,2021/11/06,職前
玉石設計行銷訓練班(訓用合一) 第01期,花蓮縣,2021/10/08,2021/10/22,職前
悠閒兩用胸背包製作班,花蓮縣吉安鄉東里一街156號,2021/10/08,2021/12/26,在職
室內裝修設計 第01期,花蓮縣,2021/10/07,2022/01/17,職前
寶飾金工製作(花蓮) 第01期,花蓮縣,2021/09/16,2021/12/20,職前
觀光旅遊產業升級訓練班(訓用合一) 第01期,花蓮縣,2021/08/30,2021/09/17,職前
異國風味小吃料理班 第01期,花蓮縣,2021/08/23,2021/10/15,職前
110 年度補助辦理照顧服務員專班訓練 第08期,花蓮縣,2021/08/16,2021/09/06,職前
新娘秘書整體設計培訓班 第01期,花蓮縣,2021/08/09,2021/09/14,職前
母嬰照顧人才培訓班 第01期,花蓮縣,2021/08/09,2021/10/01,職前
肌膚管理暨舒壓美容師培訓班 第01期,花蓮縣,2021/07/29,2021/10/01,職前
主廚星級便當班 第01期,花蓮縣,2021/07/29,2021/09/17,職前
特色民宿經營管理人才培訓班 第01期,花蓮縣,2021/07/23,2021/11/29,職前
跨域商業管理形象人才培訓班 第01期,花蓮縣,2021/07/23,2021/11/18,職前
新秘髮型設計造型師培訓班 第01期,花蓮縣,2021/07/22,2021/09/28,職前
砌磚鋪面實務班 第01期,花蓮縣,2021/07/09,2021/10/26,職前
夯胖烘焙西點午茶料理班 第01期,花蓮縣,2021/07/06,2021/08/18,職前
奇萊農產加工料理製作班 第01期,花蓮縣,2021/07/06,2021/10/13,職前
金工進階(花蓮)第01期,花蓮縣,2021/06/25,2021/09/28,在職
電商行銷技能人才培訓計畫,花蓮縣新城鄉樹人街1號,2021/05/31,2021/06/18,青年
智慧無人機專業飛手養成班(花蓮2),花蓮縣新城鄉康樂村加灣1-5號(光隆展示館會議室與廣場),2021/05/29,2021/06/30,青年
國際行銷電商直播自媒體人才培訓班(花蓮),花蓮縣花蓮市華西路 123 號(國立東華大學體育館 101 教室),2021/05/27,2021/11/01,青年
電腦硬體裝修與網路架設實務(花蓮) 第01期,花蓮縣,2021/05/18,2021/09/22,職前
室內配線(假日班)(花蓮)第01期,花蓮縣,2021/05/18,2021/10/17,在職
建築泥作模板實務班 第01期,花蓮縣,2021/05/13,2021/08/18,職前
泥水砌磚班 第01期,花蓮縣,2021/05/05,2021/09/13,職前
泥水鋪面班 第01期,花蓮縣,2021/05/05,2021/09/09,職前
智慧無人機專業飛手養成班(花蓮),花蓮縣花蓮市室內：華西路123號(國立東華大學創新研究園區) 室外:壽豐鄉大學路二段1號(國立東華大學遙控無人機術科考場),2021/04/30,2021/10/12,青年
室內設計電腦繪圖(假日班)(花蓮)第01期,花蓮縣,2021/04/27,2021/10/03,在職
文創市集工藝職人培訓班 第01期,花蓮縣,2021/04/24,2021/08/30,職前
建築泥作模板實務班 第02期,花蓮縣,2021/04/19,2021/10/26,職前
室內裝修設計實務(產訓班)(花蓮) 第02期,花蓮縣,2021/04/14,2021/08/31,職前
門市流通網路商店人員培訓班 第01期,花蓮縣,2021/03/29,2021/06/18,職前
芳療美容師培訓班 第01期,花蓮縣,2021/03/23,2021/06/15,職前
水電(產訓班)(花蓮) 第02期,花蓮縣,2021/03/19,2021/09/07,職前
玉石飾品製作(花蓮) 第01期,花蓮縣,2021/03/16,2021/09/01,職前
手作烘焙與創意伴手禮製作班 第01期,花蓮縣,2021/03/10,2021/09/09,職前
食尚樂活蔬食料理製作班 第01期,花蓮縣,2021/03/10,2021/07/22,職前
原住民手作皮件班 第01期,花蓮縣,2021/03/01,2021/09/07,職前
室內配線(花蓮)第01期,花蓮縣,2021/01/13,2021/04/08,在職
行動新秘美甲藝術造型人才培訓班 第01期,花蓮縣,2020/12/22,2021/07/05,職前
婚禮跟妝師暨特殊妝培訓班 第01期,花蓮縣,2020/12/15,2021/07/14,職前
民宿經營管理-管家實務(產訓班)(花蓮) 第01期,花蓮縣,2020/11/16,2021/03/03,職前
金工玉石基礎(假日班)(花蓮)第01期,花蓮縣,2020/11/11,2021/01/24,在職
玉石研磨(花蓮) 第01期,花蓮縣,2020/11/10,2021/01/19,職前
金工玉石基礎(假日班)(花蓮)第01期,花蓮縣,2020/11/10,2022/03/05,在職
水電(產訓班)(花蓮) 第01期,花蓮縣,2020/11/05,2021/01/29,職前
室內裝修設計實務(產訓班)(花蓮) 第01期,花蓮縣,2020/11/03,2021/01/18,職前
室內設計手繪製圖(假日班)(花蓮)第01期,花蓮縣,2020/10/30,2021/01/16,在職
水電空調維護(假日班)(花蓮)第01期,花蓮縣,2020/10/30,2021/01/10,在職
國際行銷企劃-斜槓青年/國際行銷與電商經營實務班,花蓮縣花蓮市南濱路一段532號(後山山後故事館)2F階梯教室(學術科皆同一地點),2020/10/19,2020/11/24,青年
民宿經營管理班 第01期,花蓮縣,2020/10/01,2020/12/07,職前
夜市小吃與創意異國料理製作班 第01期,花蓮縣,2020/09/30,2020/11/03,職前
木工技能培訓班 第01期,花蓮縣,2020/09/07,2020/12/04,職前
生活好幫手-家事達人訓練班 第01期,花蓮縣,2020/09/03,2020/11/09,職前
創意原味手作烘焙實務班 第01期,花蓮縣,2020/08/24,2020/09/18,職前
觀光市集巡禮暨文創手作商品班 第01期,花蓮縣,2020/08/24,2020/12/07,職前
花蓮縣照顧服務員專班訓練 第06期,花蓮縣,2020/08/17,2020/09/25,職前
坐月子服務人員培訓班 第01期,花蓮縣,2020/08/12,2020/09/25,職前
伊娜原民文創班 第01期,花蓮縣,2020/08/03,2020/09/21,職前
水電(產訓班)(花蓮) 第03期,花蓮縣,2020/08/03,2020/11/12,職前
室內裝修設計實務(產訓班)(花蓮) 第3期,花蓮縣,2020/07/24,2020/10/07,職前
花蓮縣照顧服務員專班 第04期,花蓮縣,2020/07/07,2020/09/08,職前
芥菜種會照顧服務員線上假日班(第二班) 第08期,花蓮縣,2020/07/06,2020/08/15,職前
堆高機暨倉儲運送人員訓練班 第01期,花蓮縣,2020/06/24,2020/08/26,職前
民宿經營管理-管家實務(產訓班)(花蓮) 第01期,花蓮縣,2020/06/19,2020/09/01,職前
觀光旅遊產業升級人才培訓班 第01期,花蓮縣,2020/06/17,2020/08/31,職前
自然風手作木傢俱實務班 第01期,花蓮縣,2020/06/17,2020/09/28,職前
園藝證照及實務訓練班 第01期,花蓮縣,2020/06/15,2020/10/05,職前
玉石藝品設計行銷人才培訓班 第01期,花蓮縣,2020/06/15,2020/09/14,職前
友善耕作小農培訓班 第01期,花蓮縣,2020/06/15,2020/09/03,職前
家具木工證照班 第01期,花蓮縣,2020/06/15,2020/08/24,職前
新秘造型創意彩繪藝術頭飾設計班 第01期,花蓮縣,2020/06/15,2020/10/19,職前
原食風味餐飲烘焙實務班 第01期,花蓮縣,2020/06/13,2020/09/28,職前
茶湯職人舒心甜品人才培訓班 第01期,花蓮縣,2020/06/10,2020/10/12,職前
灶神宅送便當班 第01期,花蓮縣,2020/06/10,2020/07/20,職前
食在安心蔬果栽培班 第01期,花蓮縣,2020/06/09,2020/09/28,職前
人體藝術彩繪造型設計班 第01期,花蓮縣,2020/06/09,2020/08/03,職前
網路工程師(花蓮) 第01期,花蓮縣,2020/06/09,2020/08/25,職前
小資烘焙甜點創業班 第01期,花蓮縣,2020/06/08,2020/08/19,職前
寵物美容培訓班 第01期,花蓮縣,2020/06/08,2020/08/11,職前
金銀玉石飾品製作(花蓮)第01期,花蓮縣,2020/06/05,2020/09/01,在職
有機農業耕作暨樂活農園經營培訓班 第01期,花蓮縣,2020/06/04,2020/08/17,職前
輕食咖啡暨烘焙早午餐創業行銷班 第01期,花蓮縣,2020/06/02,2020/07/16,職前
全方位美容美睫師培訓班 第01期,花蓮縣,2020/06/01,2020/09/01,職前
玉石飾品設計與製作(花蓮) 第02期,花蓮縣,2020/05/22,2020/08/03,職前
社群媒體與數位影音行銷企劃班 第01期,花蓮縣,2020/05/15,2020/08/21,職前
室內配線(假日班)(花蓮)第01期,花蓮縣,2020/05/15,2020/08/09,在職
美甲妝髮整體造型師培訓班 第01期,花蓮縣,2020/05/05,2020/07/01,職前
花蓮縣照顧服務員專班 第03期,花蓮縣,2020/05/04,2020/06/08,職前
太魯閣族文創伴手禮班 第01期,花蓮縣,2020/04/23,2020/05/21,職前
室內裝修設計實務(產訓班)(花蓮) 第02期,花蓮縣,2020/04/22,2020/07/08,職前
營建人力培訓班 第01期,花蓮縣,2020/04/20,2020/06/29,職前
水電(產訓班)(花蓮) 第02期,花蓮縣,2020/04/20,2020/07/01,職前
觀光文創商品製作人才培訓班 第01期,花蓮縣,2020/04/14,2020/05/25,職前
銅板美食創業班 第01期,花蓮縣,2020/04/09,2020/05/18,職前
手縫皮革原民班 第01期,花蓮縣,2020/04/01,2020/05/22,職前
室內設計電腦繪圖(假日班)(花蓮)第01期,花蓮縣,2020/03/25,2020/07/04,在職
花蓮縣照顧服務員專班 第02期,花蓮縣,2020/03/02,2020/07/13,職前
網頁視覺設計班 第01期,花蓮縣,2020/02/27,2020/06/08,職前
玉石研磨(花蓮) 第01期,花蓮縣,2020/02/20,2020/05/04,職前
花蓮縣照顧服務員專班訓練第五期 第05期,花蓮縣,2020/02/12,2020/03/02,職前
芥菜種會照顧服務員線上假日班 第01期,花蓮縣,2020/02/10,2020/03/14,職前
花蓮縣照顧服務員專班 第01期,花蓮縣,2020/02/05,2020/03/04,職前
社區營造文化產業導覽人員培訓班 第01期,花蓮縣,2020/01/31,2020/06/17,職前
文創市集商品手作班 第01期,花蓮縣,2020/01/31,2020/04/22,職前
優質農業人力培訓班 第01期,花蓮縣,2020/01/31,2020/04/20,職前
有機作物與園藝樂活實務班 第01期,花蓮縣,2020/01/31,2020/03/25,職前
天然好食手感烘焙實務班 第01期,花蓮縣,2020/01/31,2020/03/25,職前
室內裝修施工實務(木作)(產訓班)(花蓮) 第01期,花蓮縣,2020/01/30,2020/04/06,職前
數位視覺設計應用實務班 第01期,花蓮縣,2020/01/22,2020/05/27,職前
木質傢俱家飾工藝班 第01期,花蓮縣,2020/01/21,2020/06/02,職前
華語領隊導遊人員培訓班 第01期,花蓮縣,2020/01/21,2020/04/22,職前
綠色療癒園藝人員培訓班 第01期,花蓮縣,2020/01/16,2020/03/31,職前
廣告行銷設計實務班 第01期,花蓮縣,2020/01/16,2020/03/05,職前
舞台特效創意造型人才培訓班 第01期,花蓮縣,2020/01/15,2020/05/26,職前
食尚餐點料理人才培訓班 第01期,花蓮縣,2020/01/15,2020/03/16,職前
室內配線(花蓮)第01期,花蓮縣,2020/01/15,2020/04/08,在職
農業人才培訓班 第01期,花蓮縣,2020/01/13,2020/04/30,職前
家具木工班 第01期,花蓮縣,2020/01/13,2020/04/21,職前
東部玉石藝品設計行銷人才培訓班 第01期,花蓮縣,2020/01/13,2020/03/19,職前
咖啡莊園管理人才培訓班 第01期,花蓮縣,2020/01/13,2020/03/13,職前
好想學生活文創班 第01期,花蓮縣,2020/01/10,2020/03/09,職前
月子膳食料理製作班 第01期,花蓮縣,2020/01/10,2020/03/04,職前
苗圃與花卉經營管理班 第01期,花蓮縣,2020/01/08,2020/03/26,職前
以客為尊飯店旅宿服務人員訓練班 第01期,花蓮縣,2020/01/07,2020/03/16,職前
新秘造型藝術眉整體班 第01期,花蓮縣,2020/01/07,2020/03/02,職前
新娘造型影視特效人才培訓班 第01期,花蓮縣,2020/01/07,2020/03/09,職前
HOME SPA到府服務美容師培訓班 第01期,花蓮縣,2019/12/30,2020/02/17,職前
金工基礎(花蓮)第01期,花蓮縣,2019/11/20,2020/03/03,在職
玉石飾品設計與製作(花蓮) 第01期,花蓮縣,2019/11/05,2020/02/03,職前
