課程名稱,上課地點,開放報名,開課日期,性質
月子餐調理B班第01期,基隆市安樂區安一路370巷22號B棟,2021/11/16,2021/12/16,在職
月子餐調理A班第01期,基隆市安樂區安一路370巷22號B棟,2021/11/15,2021/12/15,在職
冷凍空調裝修 第01期,基隆市,2021/11/15,2022/03/28,職前
冷凍空調裝修(基礎)(基隆)第01期,基隆市,2021/11/15,2022/03/01,在職
珠寶蠟雕(假日班)(基隆)第01期,基隆市,2021/11/15,2022/01/16,在職
芳香精油肩頸鬆筋手法與社群媒體班第02期,基隆市仁愛區愛三路37號7樓,2021/11/07,2021/12/14,在職
米麵點心班第01期,基隆市中正區環港街5號,2021/11/07,2021/12/07,在職
農漁產品加工班第01期,基隆市中正區環港街5號,2021/11/06,2021/12/06,在職
跨領域自媒體直播播客進階班第02期,基隆市仁愛區愛三路37號7樓,2021/11/05,2021/12/25,在職
包膜貼鑽班第01期,基隆市仁愛區愛四路28巷6號2樓,2021/11/04,2021/12/04,在職
木作設計專員基礎訓練班B班第02期,基隆市仁愛區愛三路9號7樓之2,2021/11/04,2021/12/04,在職
訓練師專業職能訓練班第01期,基隆市仁愛區愛三路37號7樓,2021/11/02,2021/12/02,在職
電腦輔助機械製圖 第01期,基隆市,2021/11/01,2022/03/01,職前
珠寶飾品設計與製作 第01期,基隆市,2021/11/01,2022/03/14,職前
人資勞動法務專員基礎訓練班第03期,基隆市仁愛區愛三路9號7樓之2,2021/10/29,2021/11/28,在職
照顧服務員專班訓練 第01期,基隆市,2021/10/15,2021/11/02,職前
創意手工皂製作與應用班第01期,基隆市仁愛區仁五路8號10F之4,2021/10/14,2021/11/27,在職
服裝及袋包打版車縫設計製作班 第01期,基隆市,2021/10/06,2021/10/18,職前
一般手工電銲(假日班)(基隆)第01期,基隆市,2021/10/01,2022/03/06,在職
無人機救災之影像感測與分析實務人才培訓班,基隆市中正區北寧路2號,2021/08/31,2021/11/22,青年
整體造型設計實務培訓班 第01期,基隆市,2021/08/16,2021/09/09,職前
創新休閒產業清潔專班 第01期,基隆市,2021/08/11,2021/09/09,職前
食尚餐飲培訓班 第01期,基隆市,2021/08/06,2021/09/10,職前
彩繪商品設計行銷培訓班(訓用合一) 第01期,基隆市,2021/08/05,2021/08/30,職前
傳統整復推拿與腳底按摩調理就業輔導專班 第01期,基隆市,2021/08/01,2021/09/09,職前
珠寶飾品設計與製作(基隆) 第03期,基隆市,2021/07/22,2021/11/16,職前
寵物美容暨基礎行政與創業訓練班 第01期,基隆市,2021/07/02,2021/08/02,職前
110年基隆市照顧服務員專班 第05期,基隆市,2021/06/01,2021/11/09,職前
智慧無人機專業飛手養成班(基隆2),基隆市七堵區206東新街22號,2021/05/29,2021/07/14,青年
行銷達人數位媒體空拍應用培訓班（基隆2）,基隆市七堵區東新街22號(國立基隆高級商工職業學校),2021/05/28,2021/08/02,青年
冷凍空調裝修(基隆)第01期,基隆市,2021/05/27,2021/10/05,在職
CIS品牌視覺設計班 第01期,基隆市,2021/05/26,2021/08/30,職前
一般手工電銲(基隆)第01期,基隆市,2021/05/24,2021/09/27,在職
電腦輔助機械製圖(基隆) 第01期,基隆市,2021/05/24,2021/10/25,職前
行銷達人數位媒體空拍應用培訓班（基隆）,基隆市七堵區東新街22號(國立基隆高級商工職業學校),2021/05/19,2021/07/15,青年
冷凍空調裝修(基隆) 第02期,基隆市,2021/05/17,2021/09/22,職前
珠寶琺瑯(假日班)(基隆)第01期,基隆市,2021/05/10,2021/10/17,在職
